"species","term","edf","f_stat","p_value","category","is_vegetation","rank","timestamp"
"Rainbow Lorikeet","s(elevation)",6.07766155395732,15.0195827404659,0,"landscape",FALSE,15,"2026-06-03 10:57:13"
"Rainbow Lorikeet","s(prop_canopy)",1.92127222047393,11.1079399065636,0,"vegetation",TRUE,16,"2026-06-03 10:57:13"
"Rainbow Lorikeet","s(water_occ)",6.8730999168364,8.98241886194123,0,"landscape",FALSE,17,"2026-06-03 10:57:13"
"Rainbow Lorikeet","s(FDiv)",0.958296178232361,7.62361053622449,9.77028278836833e-07,"vegetation",TRUE,18,"2026-06-03 10:57:13"
"Rainbow Lorikeet","s(log1p(effort_distance_km))",0.951075135200228,6.43527990273604,6.16914520024103e-06,"other",FALSE,19,"2026-06-03 10:57:13"
"Rainbow Lorikeet","s(number_observers)",1.19511914496154,4.3331653495519,0.000205732298686145,"effort",FALSE,20,"2026-06-03 10:57:13"
"Rainbow Lorikeet","s(pielou_evenness)",0.888264220942136,2.64745652544895,0.00203407143381806,"vegetation",TRUE,21,"2026-06-03 10:57:13"
"Rainbow Lorikeet","s(sp_richness)",0.875803157199773,0.616938232427228,0.107318746010489,"vegetation",TRUE,22,"2026-06-03 10:57:13"
"Rainbow Lorikeet","s(wooddensity_cwm)",0.954056766911476,0.528515036042938,0.170894901467271,"vegetation",TRUE,23,"2026-06-03 10:57:13"
"Rainbow Lorikeet","s(LA_cwm)",0.000287470956420754,1.52228724730024e-05,0.806080123248609,"vegetation",TRUE,24,"2026-06-03 10:57:13"
"Rainbow Lorikeet","protocol_type",2,3.00244230225694e-13,0.9999999999997,"effort",FALSE,25,"2026-06-03 10:57:13"
"Magpie-lark","s(lc_trees)",8.1966332501885,94.6139649866978,0,"landscape",FALSE,1,"2026-06-03 10:58:50"
"Magpie-lark","s(log(duration_minutes))",0.995687130049156,75.1981844947244,0,"other",FALSE,2,"2026-06-03 10:58:50"
"Magpie-lark","s(observer_expertise)",3.41752737985026,56.2637824611525,0,"effort",FALSE,3,"2026-06-03 10:58:50"
"Magpie-lark","s(LA_cwm)",2.97756538955441,53.4764909316589,0,"vegetation",TRUE,4,"2026-06-03 10:58:50"
"Magpie-lark","s(mean_fhd)",1.98304968635631,40.5256902467704,0,"vegetation",TRUE,5,"2026-06-03 10:58:50"
"Magpie-lark","s(prop_canopy)",2.86241875245258,37.4892302155551,0,"vegetation",TRUE,6,"2026-06-03 10:58:50"
"Magpie-lark","s(log1p(nightlights))",8.46825616126001,33.6269182032603,0,"other",FALSE,7,"2026-06-03 10:58:50"
"Magpie-lark","s(temp_annual)",7.68423089595308,31.988697487584,0,"landscape",FALSE,8,"2026-06-03 10:58:50"
"Magpie-lark","s(log(precip_annual))",7.33430410000129,31.9460349807141,0,"other",FALSE,9,"2026-06-03 10:58:50"
"Magpie-lark","s(height_cwm)",2.9559055720734,27.7652037221071,0,"vegetation",TRUE,10,"2026-06-03 10:58:50"
"Magpie-lark","s(time_observations_started)",6.70247197482896,23.964989252182,0,"effort",FALSE,11,"2026-06-03 10:58:50"
"Magpie-lark","s(wooddensity_cwm)",1.94104996332878,21.6718833397849,0,"vegetation",TRUE,12,"2026-06-03 10:58:50"
"Magpie-lark","s(water_occ)",7.36814494230527,15.3068670662117,0,"landscape",FALSE,13,"2026-06-03 10:58:50"
"Magpie-lark","s(elevation)",7.17300305739158,15.2818546398329,0,"landscape",FALSE,14,"2026-06-03 10:58:50"
"Magpie-lark","s(FDiv)",2.80342360320572,11.3162915828639,0,"vegetation",TRUE,15,"2026-06-03 10:58:50"
"Magpie-lark","s(log1p(effort_distance_km))",1.85482577533989,10.8898180982906,0,"other",FALSE,16,"2026-06-03 10:58:50"
"Magpie-lark","s(sp_richness)",1.68148273866516,5.66787598415338,1.71024540951414e-05,"vegetation",TRUE,17,"2026-06-03 10:58:50"
"Magpie-lark","s(pielou_evenness)",0.938082278957564,5.03459562784961,1.04293312683801e-05,"vegetation",TRUE,18,"2026-06-03 10:58:50"
"Magpie-lark","s(cover)",1.4597181654135,1.40209408032518,0.0522527566862784,"vegetation",TRUE,19,"2026-06-03 10:58:50"
"Magpie-lark","s(gini_simpson)",1.18096331377908,0.950490997636914,0.0694227828946103,"vegetation",TRUE,20,"2026-06-03 10:58:50"
"Magpie-lark","s(day_of_year)",3.13175550314506,0.931191441062111,0.0431727598713717,"effort",FALSE,21,"2026-06-03 10:58:50"
"Magpie-lark","s(number_observers)",0.532466779167353,0.37950775185481,0.142887259539296,"effort",FALSE,22,"2026-06-03 10:58:50"
"Magpie-lark","s(FEve)",0.00037147600679195,5.48690068255231e-05,0.540333617022724,"vegetation",TRUE,23,"2026-06-03 10:58:50"
"Magpie-lark","s(FRic)",0.000283235330229042,1.35114712497404e-05,0.801172481351479,"vegetation",TRUE,24,"2026-06-03 10:58:50"
"Magpie-lark","protocol_type",1,1.08985915009891e-11,0.999997365978318,"effort",FALSE,25,"2026-06-03 10:58:50"
"Noisy Miner","s(log1p(nightlights))",8.48335127998044,60.5761769025239,0,"other",FALSE,1,"2026-06-03 11:00:36"
"Noisy Miner","s(mean_fhd)",2.9700541565589,50.529005664432,0,"vegetation",TRUE,2,"2026-06-03 11:00:36"
"Noisy Miner","s(temp_annual)",7.91583483486321,47.605135612728,0,"landscape",FALSE,3,"2026-06-03 11:00:36"
"Noisy Miner","s(lc_trees)",8.20839948596542,38.6390917359515,0,"landscape",FALSE,4,"2026-06-03 11:00:36"
"Noisy Miner","s(log1p(effort_distance_km))",1.91400830042157,36.7916577595562,0,"other",FALSE,5,"2026-06-03 11:00:36"
"Noisy Miner","s(elevation)",7.19382895876149,31.9783864197993,0,"landscape",FALSE,6,"2026-06-03 11:00:36"
"Noisy Miner","s(sp_richness)",2.76358492665562,27.9356803389516,0,"vegetation",TRUE,7,"2026-06-03 11:00:36"
"Noisy Miner","s(FEve)",2.70350209587137,24.1508677727543,0,"vegetation",TRUE,8,"2026-06-03 11:00:36"
"Noisy Miner","s(gini_simpson)",2.90690118080032,23.4705976000349,0,"vegetation",TRUE,9,"2026-06-03 11:00:36"
"Noisy Miner","s(wooddensity_cwm)",2.7170439939813,22.2245895393,0,"vegetation",TRUE,10,"2026-06-03 11:00:36"
"Noisy Miner","s(log(duration_minutes))",2.67607297720172,21.7044498514831,0,"other",FALSE,11,"2026-06-03 11:00:36"
"Noisy Miner","s(water_occ)",7.31012910861058,21.0659285385014,0,"landscape",FALSE,12,"2026-06-03 11:00:36"
"Noisy Miner","s(observer_expertise)",3.56633386862265,20.1276371004188,0,"effort",FALSE,13,"2026-06-03 11:00:36"
"Noisy Miner","s(time_observations_started)",7.26870831220328,17.7896766794355,0,"effort",FALSE,14,"2026-06-03 11:00:36"
"Noisy Miner","s(log(precip_annual))",5.96596487477393,16.5459583636988,0,"other",FALSE,15,"2026-06-03 11:00:36"
"Noisy Miner","s(height_cwm)",1.94302701903949,15.9071882061815,0,"vegetation",TRUE,16,"2026-06-03 11:00:36"
"Noisy Miner","s(cover)",1.90414034920977,15.8992151627954,0,"vegetation",TRUE,17,"2026-06-03 11:00:36"
"Noisy Miner","s(FRic)",1.94262678311913,15.5394379184331,0,"vegetation",TRUE,18,"2026-06-03 11:00:36"
"Noisy Miner","s(pielou_evenness)",1.87836171653014,10.9068445874303,0,"vegetation",TRUE,19,"2026-06-03 11:00:36"
"Noisy Miner","s(FDiv)",2.69544007959053,9.77164694883112,1.53253046919488e-07,"vegetation",TRUE,20,"2026-06-03 11:00:36"
"Noisy Miner","s(LA_cwm)",2.51488522946662,9.58250056755164,8.88936868559398e-08,"vegetation",TRUE,21,"2026-06-03 11:00:36"
"Noisy Miner","s(prop_canopy)",1.98346214137835,9.12888147980264,5.52725084368433e-07,"vegetation",TRUE,22,"2026-06-03 11:00:36"
"Noisy Miner","s(day_of_year)",1.9965215826827,0.843084854544888,0.0173166576288133,"effort",FALSE,23,"2026-06-03 11:00:36"
"Noisy Miner","s(number_observers)",0.431796082651786,0.253146199545652,0.184178721786077,"effort",FALSE,24,"2026-06-03 11:00:36"
"Noisy Miner","protocol_type",1,3.61679191024184e-13,0.999999520160654,"effort",FALSE,25,"2026-06-03 11:00:36"
"Welcome Swallow","s(observer_expertise)",3.10724067979877,51.6876739749641,0,"effort",FALSE,1,"2026-06-03 11:03:02"
"Welcome Swallow","s(log(duration_minutes))",2.74005609094244,41.6125969905134,0,"other",FALSE,2,"2026-06-03 11:03:02"
"Welcome Swallow","s(lc_trees)",7.5216564532557,38.2007292148001,0,"landscape",FALSE,3,"2026-06-03 11:03:02"
"Welcome Swallow","s(height_cwm)",1.94185911245327,16.0912149183848,0,"vegetation",TRUE,4,"2026-06-03 11:03:02"
"Welcome Swallow","s(water_occ)",8.42732926308609,16.0313251249702,0,"landscape",FALSE,5,"2026-06-03 11:03:02"
"Welcome Swallow","s(wooddensity_cwm)",2.79300963138804,14.5105940751474,0,"vegetation",TRUE,6,"2026-06-03 11:03:02"
"Welcome Swallow","s(log1p(nightlights))",7.6837792612367,13.954348033414,0,"other",FALSE,7,"2026-06-03 11:03:02"
"Welcome Swallow","s(FDiv)",2.88286015643513,12.1392930382887,0,"vegetation",TRUE,8,"2026-06-03 11:03:02"
"Welcome Swallow","s(mean_fhd)",2.79195669726842,12.111067981227,0,"vegetation",TRUE,9,"2026-06-03 11:03:02"
"Welcome Swallow","s(elevation)",8.27697972878754,10.8641237293817,0,"landscape",FALSE,10,"2026-06-03 11:03:02"
"Welcome Swallow","s(prop_canopy)",1.87516042842825,10.21305345277,0,"vegetation",TRUE,11,"2026-06-03 11:03:02"
"Welcome Swallow","s(sp_richness)",2.84271520452701,10.0990760348773,1.57563125657845e-07,"vegetation",TRUE,12,"2026-06-03 11:03:02"
"Welcome Swallow","s(cover)",2.85373164228952,9.09735588359921,1.47491788271559e-06,"vegetation",TRUE,13,"2026-06-03 11:03:02"
"Welcome Swallow","s(log(precip_annual))",7.63426651349803,7.57536945639217,0,"other",FALSE,14,"2026-06-03 11:03:02"
"Welcome Swallow","s(log1p(effort_distance_km))",0.952525852798669,6.65926104326172,4.51655037680965e-06,"other",FALSE,15,"2026-06-03 11:03:02"
"Welcome Swallow","s(temp_annual)",6.49025562531097,6.55674667380545,0,"landscape",FALSE,16,"2026-06-03 11:03:02"
"Welcome Swallow","s(FEve)",0.917998105586642,3.720188776317,0.000429581205041218,"vegetation",TRUE,17,"2026-06-03 11:03:02"
"Welcome Swallow","s(day_of_year)",3.65994749156173,3.6107444119316,5.39469042104557e-07,"effort",FALSE,18,"2026-06-03 11:03:02"
"Welcome Swallow","s(LA_cwm)",1.63961010774379,2.86162796581877,0.00439425460114906,"vegetation",TRUE,19,"2026-06-03 11:03:02"
"Welcome Swallow","s(time_observations_started)",3.74924599945885,1.85102063778736,0.00176240109859305,"effort",FALSE,20,"2026-06-03 11:03:02"
"Welcome Swallow","s(gini_simpson)",0.840871678055494,1.75989193111824,0.0103980360765397,"vegetation",TRUE,21,"2026-06-03 11:03:02"
"Welcome Swallow","s(FRic)",0.000300835641805584,3.31032986019529e-05,0.627631921146374,"vegetation",TRUE,22,"2026-06-03 11:03:02"
"Welcome Swallow","s(number_observers)",0.000179706017822947,1.71464425867315e-05,0.677751482127736,"effort",FALSE,23,"2026-06-03 11:03:02"
"Welcome Swallow","s(pielou_evenness)",0.000179608933648237,4.79627106866549e-06,0.874167840327228,"vegetation",TRUE,24,"2026-06-03 11:03:02"
"Welcome Swallow","protocol_type",2,5.45192200499738e-13,0.999999999999455,"effort",FALSE,25,"2026-06-03 11:03:02"
"Australian Raven","s(observer_expertise)",0.99732860745602,89.945550439668,0,"effort",FALSE,1,"2026-06-03 11:04:54"
"Australian Raven","s(log(duration_minutes))",0.996462647567649,74.6533689420351,0,"other",FALSE,2,"2026-06-03 11:04:54"
"Australian Raven","s(log(precip_annual))",7.40344033714466,53.0057415653261,0,"other",FALSE,3,"2026-06-03 11:04:54"
"Australian Raven","s(log1p(nightlights))",8.12241453073708,41.481654103888,0,"other",FALSE,4,"2026-06-03 11:04:54"
"Australian Raven","s(log1p(effort_distance_km))",2.3086222154703,31.489991006047,0,"other",FALSE,5,"2026-06-03 11:04:54"
"Australian Raven","s(time_observations_started)",7.23296388459378,25.646340794974,0,"effort",FALSE,6,"2026-06-03 11:04:54"
"Australian Raven","s(water_occ)",7.47791410429976,24.5078573473654,0,"landscape",FALSE,7,"2026-06-03 11:04:54"
"Australian Raven","s(temp_annual)",6.80090471242248,23.8288229858674,0,"landscape",FALSE,8,"2026-06-03 11:04:54"
"Australian Raven","s(FRic)",0.979858832449506,16.1171813395062,0,"vegetation",TRUE,9,"2026-06-03 11:04:54"
"Australian Raven","s(cover)",0.97440718576785,12.6388919395845,0,"vegetation",TRUE,10,"2026-06-03 11:04:54"
"Australian Raven","s(elevation)",7.30136040731379,12.1631701564658,0,"landscape",FALSE,11,"2026-06-03 11:04:54"
"Australian Raven","s(prop_canopy)",2.79974488169956,10.9344227225907,0,"vegetation",TRUE,12,"2026-06-03 11:04:54"
"Australian Raven","s(gini_simpson)",1.86527986412426,7.0346917191936,8.80279265147443e-06,"vegetation",TRUE,13,"2026-06-03 11:04:54"
"Australian Raven","s(lc_trees)",6.81659113473358,6.26316431209952,0,"landscape",FALSE,14,"2026-06-03 11:04:54"
"Australian Raven","s(day_of_year)",5.80989858716887,5.90111215843496,0,"effort",FALSE,15,"2026-06-03 11:04:54"
"Australian Raven","s(FDiv)",1.63830185635072,5.66740035189015,2.25997839921055e-05,"vegetation",TRUE,16,"2026-06-03 11:04:54"
"Australian Raven","s(sp_richness)",0.932725747954225,4.60469927199651,7.68047552867079e-05,"vegetation",TRUE,17,"2026-06-03 11:04:54"
"Australian Raven","s(height_cwm)",1.5794994310733,3.12516973280818,0.00210514347403468,"vegetation",TRUE,18,"2026-06-03 11:04:54"
"Australian Raven","s(wooddensity_cwm)",0.00223153089811209,0.000651140811038719,0.358220242188027,"vegetation",TRUE,19,"2026-06-03 11:04:54"
"Australian Raven","s(pielou_evenness)",0.00163902154458197,0.000481670417972511,0.329024209636465,"vegetation",TRUE,20,"2026-06-03 11:04:54"
"Australian Raven","s(LA_cwm)",0.000697725024896385,0.000119687882957392,0.525448875360598,"vegetation",TRUE,21,"2026-06-03 11:04:54"
"Australian Raven","s(FEve)",0.000302973215599924,6.57675315405459e-05,0.434950022462612,"vegetation",TRUE,22,"2026-06-03 11:04:54"
"Australian Raven","s(number_observers)",0.000270975440959344,1.95332716306676e-05,0.767959735194797,"effort",FALSE,23,"2026-06-03 11:04:54"
"Australian Raven","s(mean_fhd)",0.00025208761456104,2.97107982324911e-06,0.904774323696224,"vegetation",TRUE,24,"2026-06-03 11:04:54"
"Australian Raven","protocol_type",1,4.743209863415e-12,0.999998262318,"effort",FALSE,25,"2026-06-03 11:04:54"
"Superb Fairywren","s(log(duration_minutes))",1.36093267876687,89.6394741319382,0,"other",FALSE,1,"2026-06-03 11:06:51"
"Superb Fairywren","s(observer_expertise)",1.66594991546925,81.2118192196207,0,"effort",FALSE,2,"2026-06-03 11:06:51"
"Superb Fairywren","s(log(precip_annual))",8.24421769361015,52.94307237735,0,"other",FALSE,3,"2026-06-03 11:06:51"
"Superb Fairywren","s(pielou_evenness)",2.9234869338543,45.943143961641,0,"vegetation",TRUE,4,"2026-06-03 11:06:51"
"Superb Fairywren","s(FDiv)",2.96359557862231,35.184406723031,0,"vegetation",TRUE,5,"2026-06-03 11:06:51"
"Superb Fairywren","s(FEve)",2.55280567972246,26.6431290216741,0,"vegetation",TRUE,6,"2026-06-03 11:06:51"
"Superb Fairywren","s(height_cwm)",1.90644048182558,23.3981221577701,0,"vegetation",TRUE,7,"2026-06-03 11:06:51"
"Superb Fairywren","s(log1p(nightlights))",8.64922686453453,23.3117874333384,0,"other",FALSE,8,"2026-06-03 11:06:51"
"Superb Fairywren","s(gini_simpson)",1.88782359817736,19.6869449122021,0,"vegetation",TRUE,9,"2026-06-03 11:06:51"
"Superb Fairywren","s(elevation)",8.24626626244091,19.2708033149323,0,"landscape",FALSE,10,"2026-06-03 11:06:51"
"Superb Fairywren","s(water_occ)",4.00821758366983,18.1975188710228,0,"landscape",FALSE,11,"2026-06-03 11:06:51"
"Superb Fairywren","s(LA_cwm)",2.90477754445971,13.4833189418474,0,"vegetation",TRUE,12,"2026-06-03 11:06:51"
"Superb Fairywren","s(lc_trees)",7.09093889094018,12.3905131833249,0,"landscape",FALSE,13,"2026-06-03 11:06:51"
"Superb Fairywren","s(log1p(effort_distance_km))",1.83472146537197,12.0380147413067,0,"other",FALSE,14,"2026-06-03 11:06:51"
"Superb Fairywren","s(time_observations_started)",6.95044808675017,11.9851896391214,0,"effort",FALSE,15,"2026-06-03 11:06:51"
"Superb Fairywren","s(cover)",1.91896878447799,11.6159394368141,0,"vegetation",TRUE,16,"2026-06-03 11:06:51"
"Superb Fairywren","s(temp_annual)",6.79456318541204,11.5748200493158,0,"landscape",FALSE,17,"2026-06-03 11:06:51"
"Superb Fairywren","s(sp_richness)",1.90837665867906,11.0641249792456,0,"vegetation",TRUE,18,"2026-06-03 11:06:51"
"Superb Fairywren","s(wooddensity_cwm)",2.11036402448582,9.89459429381341,0,"vegetation",TRUE,19,"2026-06-03 11:06:51"
"Superb Fairywren","s(prop_canopy)",2.78680132759032,5.50236116173951,0.000102765824182338,"vegetation",TRUE,20,"2026-06-03 11:06:51"
"Superb Fairywren","s(FRic)",1.82841636799931,4.62943670489423,0.000362252335528224,"vegetation",TRUE,21,"2026-06-03 11:06:51"
"Superb Fairywren","s(day_of_year)",4.68680084018419,2.88852677625651,7.51748922955819e-05,"effort",FALSE,22,"2026-06-03 11:06:51"
"Superb Fairywren","s(number_observers)",1.21619623248348,1.40457718144447,0.0328008312140058,"effort",FALSE,23,"2026-06-03 11:06:51"
"Superb Fairywren","s(mean_fhd)",0.893197244511978,0.994824303051412,0.0454889024096621,"vegetation",TRUE,24,"2026-06-03 11:06:51"
"Superb Fairywren","protocol_type",1,4.0641108685398e-13,0.999999491352578,"effort",FALSE,25,"2026-06-03 11:06:51"
"Willie-wagtail","s(log(duration_minutes))",1.6639788405446,100.007513345949,0,"other",FALSE,1,"2026-06-03 11:08:34"
"Willie-wagtail","s(temp_annual)",7.59094689891481,46.5086467533484,0,"landscape",FALSE,2,"2026-06-03 11:08:34"
"Willie-wagtail","s(lc_trees)",7.46087196481477,46.4602131201424,0,"landscape",FALSE,3,"2026-06-03 11:08:34"
"Willie-wagtail","s(observer_expertise)",1.72604465698752,40.149652085549,0,"effort",FALSE,4,"2026-06-03 11:08:34"
"Willie-wagtail","s(sp_richness)",2.96881818831946,37.8351330041271,0,"vegetation",TRUE,5,"2026-06-03 11:08:34"
"Willie-wagtail","s(log(precip_annual))",7.52135067692753,26.2920332905869,0,"other",FALSE,6,"2026-06-03 11:08:34"
"Willie-wagtail","s(LA_cwm)",2.93587965002285,21.3098380720386,0,"vegetation",TRUE,7,"2026-06-03 11:08:34"
"Willie-wagtail","s(FDiv)",1.95335214151343,20.8695554891806,0,"vegetation",TRUE,8,"2026-06-03 11:08:34"
"Willie-wagtail","s(elevation)",7.25702860995269,18.6975293383868,0,"landscape",FALSE,9,"2026-06-03 11:08:34"
"Willie-wagtail","s(water_occ)",7.68501524523295,18.0731948787661,0,"landscape",FALSE,10,"2026-06-03 11:08:34"
"Willie-wagtail","s(log1p(nightlights))",7.71005016882798,16.3354518240364,0,"other",FALSE,11,"2026-06-03 11:08:34"
"Willie-wagtail","s(pielou_evenness)",2.90480107486402,13.7836555102196,0,"vegetation",TRUE,12,"2026-06-03 11:08:34"
"Willie-wagtail","s(mean_fhd)",1.94149389068394,12.3358156240669,0,"vegetation",TRUE,13,"2026-06-03 11:08:34"
"Willie-wagtail","s(height_cwm)",2.81379643813146,10.1445465964079,7.43126824520601e-08,"vegetation",TRUE,14,"2026-06-03 11:08:34"
"Willie-wagtail","s(prop_canopy)",0.965052298813452,9.196048047882,0,"vegetation",TRUE,15,"2026-06-03 11:08:34"
"Willie-wagtail","s(cover)",1.64070642661298,4.40593067300673,0.000272334447382949,"vegetation",TRUE,16,"2026-06-03 11:08:34"
"Willie-wagtail","s(wooddensity_cwm)",2.25406799315375,4.09337556098296,0.00138473395639926,"vegetation",TRUE,17,"2026-06-03 11:08:34"
"Willie-wagtail","s(day_of_year)",4.54627885719253,4.07876281499511,3.55732360901584e-07,"effort",FALSE,18,"2026-06-03 11:08:34"
"Willie-wagtail","s(time_observations_started)",3.75696284072612,3.35007891086863,5.12866958790603e-06,"effort",FALSE,19,"2026-06-03 11:08:34"
"Willie-wagtail","s(FEve)",1.72316088471309,3.14331334251925,0.00365127379221908,"vegetation",TRUE,20,"2026-06-03 11:08:34"
"Willie-wagtail","s(log1p(effort_distance_km))",0.900879106367205,3.01225538227332,0.00141752448455645,"other",FALSE,21,"2026-06-03 11:08:34"
"Willie-wagtail","s(FRic)",1.43156101205309,1.56334058187534,0.0360608606216297,"vegetation",TRUE,22,"2026-06-03 11:08:34"
"Willie-wagtail","s(gini_simpson)",1.00684779652194,0.582049966119045,0.160316363781916,"vegetation",TRUE,23,"2026-06-03 11:08:34"
"Willie-wagtail","s(number_observers)",0.000304220728262773,3.25273081950572e-05,0.638876941272656,"effort",FALSE,24,"2026-06-03 11:08:34"
"Willie-wagtail","protocol_type",2,3.09614674412668e-13,0.99999999999969,"effort",FALSE,25,"2026-06-03 11:08:34"
"Laughing Kookaburra","s(log(duration_minutes))",0.997770328152655,142.201571839316,0,"other",FALSE,1,"2026-06-03 11:10:48"
"Laughing Kookaburra","s(observer_expertise)",0.994890294240073,47.3845837056912,0,"effort",FALSE,2,"2026-06-03 11:10:48"
"Laughing Kookaburra","s(pielou_evenness)",2.95854059626338,43.0552599768422,0,"vegetation",TRUE,3,"2026-06-03 11:10:48"
"Laughing Kookaburra","s(lc_trees)",6.5229319594101,30.4687185768742,0,"landscape",FALSE,4,"2026-06-03 11:10:48"
"Laughing Kookaburra","s(mean_fhd)",1.96365407897095,25.970034910043,0,"vegetation",TRUE,5,"2026-06-03 11:10:48"
"Laughing Kookaburra","s(log1p(nightlights))",7.03546261097865,22.9387910876926,0,"other",FALSE,6,"2026-06-03 11:10:48"
"Laughing Kookaburra","s(cover)",2.76546596035179,21.1641536109389,0,"vegetation",TRUE,7,"2026-06-03 11:10:48"
"Laughing Kookaburra","s(time_observations_started)",7.18454148481891,19.7665518265009,0,"effort",FALSE,8,"2026-06-03 11:10:48"
