"common_name","scientific_name"
"White-plumed Honeyeater","Ptilotula penicillata"
"White-throated Treecreeper","Cormobates leucophaea"
"White-winged Chough","Corcorax melanorhamphos"
"Australian Shelduck","Tadorna tadornoides"
"Black-faced Cuckooshrike","Coracina novaehollandiae"
"Crimson Rosella","Platycercus elegans"
"Pacific Swift","Apus pacificus"
"Jacky-winter","Microeca fascinans"
"Laughing Kookaburra","Dacelo novaeguineae"
"Little Buttonquail","Turnix velox"
"Little Eagle","Hieraaetus morphnoides"
"Little Grassbird","Poodytes gramineus"
"Little Lorikeet","Psitteuteles pusillus"
"Masked Lapwing","Vanellus miles"
"Noisy Miner","Manorina melanocephala"
"Peaceful Dove","Geopelia placida"
"Red-rumped Parrot","Psephotus haematonotus"
"Restless Flycatcher","Myiagra inquieta"
"Nankeen Night Heron","Nycticorax caledonicus"
"Sacred Kingfisher","Todiramphus sanctus"
"Stubble Quail","Coturnix pectoralis"
"Tawny Frogmouth","Podargus strigoides"
"Varied Sittella","Daphoenositta chrysoptera"
"Hardhead","Aythya australis"
"Whistling Kite","Haliastur sphenurus"
"White-throated Needletail","Hirundapus caudacutus"
"Yellow-rumped Thornbill","Acanthiza chrysorrhoa"
"Black-shouldered Kite","Elanus axillaris"
"Australian Pipit","Anthus australis"
"Australasian Shoveler","Spatula rhynchotis"
"Blue-faced Honeyeater","Entomyzon cyanotis"
"Brown Honeyeater","Lichmera indistincta"
"Chestnut-breasted Munia","Lonchura castaneothorax"
"Comb-crested Jacana","Irediparra gallinacea"
"Australasian Darter","Anhinga novaehollandiae"
"Dusky Woodswallow","Artamus cyanopterus"
"Eastern Rosella","Platycercus eximius"
"European Starling","Sturnus vulgaris"
"Golden-headed Cisticola","Cisticola exilis"
"Great Crested Tern","Thalasseus bergii"
"Great Cormorant","Phalacrocorax carbo"
"Great Egret","Ardea alba"
"Gray Shrikethrush","Colluricincla harmonica"
"Gray-crowned Babbler","Pomatostomus temporalis"
"Hoary-headed Grebe","Poliocephalus poliocephalus"
"Plumed Egret","Ardea plumifera"
"Little Egret","Egretta garzetta"
"Pacific Heron","Ardea pacifica"
"Pied Butcherbird","Cracticus nigrogularis"
"Pied Cormorant","Phalacrocorax varius"
"Pied Currawong","Strepera graculina"
"Pied Stilt","Himantopus leucocephalus"
"Satin Bowerbird","Ptilonorhynchus violaceus"
"Scaly-breasted Lorikeet","Trichoglossus chlorolepidotus"
"Shining Bronze-Cuckoo","Chalcites lucidus"
"Australian Boobook","Ninox boobook"
"Spotted Dove","Spilopelia chinensis"
"Spotted Pardalote","Pardalotus punctatus"
"Little Heron","Butorides atricapilla"
"Striated Pardalote","Pardalotus striatus"
"Superb Fairywren","Malurus cyaneus"
"Swamp Harrier","Circus approximans"
"Tree Martin","Petrochelidon nigricans"
"White-bellied Sea-Eagle","Icthyophaga leucogaster"
"White-bellied Cuckooshrike","Coracina papuensis"
"White-naped Honeyeater","Melithreptus lunatus"
"White-throated Gerygone","Gerygone olivacea"
"Yellow-billed Spoonbill","Platalea flavipes"
"Yellow-tailed Black-Cockatoo","Zanda funerea"
"Brown Thornbill","Acanthiza pusilla"
"Common Bronzewing","Phaps chalcoptera"
"Double-barred Finch","Stizoptera bichenovii"
"Eastern Spinebill","Acanthorhynchus tenuirostris"
"Eastern Whipbird","Psophodes olivaceus"
"European Goldfinch","Carduelis carduelis"
"Gray Butcherbird","Cracticus torquatus"
"Olive-backed Oriole","Oriolus sagittatus"
"Red-whiskered Bulbul","Pycnonotus jocosus"
"Rockwarbler","Origma solitaria"
"Striated Thornbill","Acanthiza lineata"
"Variegated Fairywren","Malurus lamberti"
"White-cheeked Honeyeater","Phylidonyris niger"
"Yellow-faced Honeyeater","Caligavis chrysops"
"Eastern Yellow Robin","Eopsaltria australis"
"Yellow Thornbill","Acanthiza nana"
"Yellow-tufted Honeyeater","Lichenostomus melanops"
"White-backed Swallow","Cheramoeca leucosterna"
"Pallid Cuckoo","Heteroscenes pallidus"
"Australian Reed Warbler","Acrocephalus australis"
"Australasian Figbird","Sphecotheres vieilloti"
"Australian Pelican","Pelecanus conspicillatus"
"Bell Miner","Manorina melanophrys"
"Black Kite","Milvus migrans"
"Brown Goshawk","Tachyspiza fasciata"
"Caspian Tern","Hydroprogne caspia"
"Chestnut Teal","Anas castanea"
"Fan-tailed Cuckoo","Cacomantis flabelliformis"
"Great Crested Grebe","Podiceps cristatus"
"Australian Tern","Gelochelidon macrotarsa"
"Lewin's Honeyeater","Meliphaga lewinii"
"Mistletoebird","Dicaeum hirundinaceum"
"Musk Lorikeet","Trichoglossus concinnus"
"Rainbow Lorikeet","Trichoglossus moluccanus"
"Red-backed Fairywren","Malurus melanocephalus"
"Red-browed Firetail","Neochmia temporalis"
"Rose Robin","Petroica rosea"
"Silver Gull","Chroicocephalus novaehollandiae"
"Cockatiel","Nymphicus hollandicus"
"Striped Honeyeater","Plectorhyncha lanceolata"
"Budgerigar","Melopsittacus undulatus"
"Channel-billed Cuckoo","Scythrops novaehollandiae"
"Eastern Shrike-tit","Falcunculus frontatus"
"Diamond Firetail","Stagonopleura guttata"
"Dollarbird","Eurystomus orientalis"
"Rainbow Bee-eater","Merops ornatus"
"Red-backed Kingfisher","Todiramphus pyrrhopygius"
"Australian Raven","Corvus coronoides"
"Southern Whiteface","Aphelocephala leucopsis"
"Zebra Finch","Taeniopygia guttata"
"Rock Pigeon","Columba livia"
"Australian King-Parrot","Alisterus scapularis"
"Spiny-cheeked Honeyeater","Acanthagenys rufogularis"
"Brown-headed Honeyeater","Melithreptus brevirostris"
"Buff-rumped Thornbill","Acanthiza reguloides"
"Chestnut-rumped Thornbill","Acanthiza uropygialis"
"Crested Bellbird","Oreoica gutturalis"
"Diamond Dove","Geopelia cuneata"
"Eurasian Blackbird","Turdus merula"
"Flame Robin","Petroica phoenicea"
"Horsfield's Bronze-Cuckoo","Chalcites basalis"
"Scarlet Robin","Petroica boodang"
"Speckled Warbler","Pyrrholaemus sagittatus"
"Weebill","Smicrornis brevirostris"
"White-browed Babbler","Pomatostomus superciliosus"
"Australian Brushturkey","Alectura lathami"
"Australian Hobby","Falco longipennis"
"Bar-shouldered Dove","Geopelia humeralis"
"Black-necked Stork","Ephippiorhynchus asiaticus"
"Brown Cuckoo-Dove","Macropygia phasianella"
"Sahul Brush Cuckoo","Cacomantis variolosus"
"Eastern Barn Owl","Tyto javanica"
"Forest Kingfisher","Todiramphus macleayii"
"Green Catbird","Ailuroedus crassirostris"
"Large-billed Scrubwren","Sericornis magnirostra"
"Musk Duck","Biziura lobata"
"Noisy Pitta","Pitta versicolor"
"Bassian Thrush","Zoothera lunulata"
"Scarlet Myzomela","Myzomela sanguinolenta"
"Australian Logrunner","Orthonyx temminckii"
"Superb Lyrebird","Menura novaehollandiae"
"White-browed Scrubwren","Sericornis frontalis"
"Whiskered Tern","Chlidonias hybrida"
"Wonga Pigeon","Leucosarcia melanoleuca"
"Yellow-throated Scrubwren","Neosericornis citreogularis"
"Black-faced Woodswallow","Artamus cinereus"
"Greater Bluebonnet","Northiella haematogaster"
"Spotted Harrier","Circus assimilis"
"White-winged Fairywren","Malurus leucopterus"
"Bar-tailed Godwit","Limosa lapponica"
"Little Wattlebird","Anthochaera chrysoptera"
"Common Myna","Acridotheres tristis"
"Curlew Sandpiper","Calidris ferruginea"
"Double-banded Plover","Anarhynchus bicinctus"
"Far Eastern Curlew","Numenius madagascariensis"
"Red-capped Plover","Anarhynchus ruficapillus"
"Red-necked Stint","Calidris ruficollis"
"Sharp-tailed Sandpiper","Calidris acuminata"
"White-fronted Chat","Epthianura albifrons"
"Black Falcon","Falco subniger"
"Masked Woodswallow","Artamus personatus"
"Red-kneed Dotterel","Erythrogonys cinctus"
"Ground Cuckooshrike","Coracina maxima"
"Freckled Duck","Stictonetta naevosa"
"Osprey","Pandion haliaetus"
"Australian Rufous Fantail","Rhipidura rufifrons"
"Superb Parrot","Polytelis swainsonii"
"Western Gerygone","Gerygone fusca"
"Banded Lapwing","Vanellus tricolor"
"Black-chinned Honeyeater","Melithreptus gularis"
"Brown Gerygone","Gerygone mouki"
"Brush Bronzewing","Phaps elegans"
"Collared Sparrowhawk","Tachyspiza cirrocephala"
"Pacific Emerald Dove","Chalcophaps longirostris"
"Fuscous Honeyeater","Ptilotula fusca"
"Gang-gang Cockatoo","Callocephalon fimbriatum"
"Eurasian Skylark","Alauda arvensis"
"White-eared Honeyeater","Nesoptilotis leucotis"
"Brolga","Antigone rubicunda"
"New Holland Honeyeater","Phylidonyris novaehollandiae"
"Southern Emuwren","Stipiturus malachurus"
"Spotted Quail-thrush","Cinclosoma punctatum"
"Tawny-crowned Honeyeater","Gliciphila melanops"
"Crescent Honeyeater","Phylidonyris pyrrhopterus"
"Red-browed Treecreeper","Climacteris erythrops"
"Peregrine Falcon","Falco peregrinus"
"White-breasted Woodswallow","Artamus leucorynchus"
"Red Knot","Calidris canutus"
"Eurasian Whimbrel","Numenius phaeopus"
"Common Greenshank","Tringa nebularia"
"Southern Giant-Petrel","Macronectes giganteus"
"Baillon's Crake","Zapornia pusilla"
"Black-browed Albatross","Thalassarche melanophris"
"Great Knot","Calidris tenuirostris"
"Mallard","Anas platyrhynchos"
"White-fronted Tern","Sterna striata"
"Little Tern","Sternula albifrons"
"Ruddy Turnstone","Arenaria interpres"
"Sanderling","Calidris alba"
"Kelp Gull","Larus dominicanus"
"Siberian Sand-Plover","Anarhynchus mongolus"
"Pacific Golden-Plover","Pluvialis fulva"
"Yellow-throated Miner","Manorina flavigula"
"Pacific Koel","Eudynamys orientalis"
"Australasian Bittern","Botaurus poiciloptilus"
"Black-faced Monarch","Monarcha melanopsis"
"Buff-banded Rail","Gallirallus philippensis"
"Gray Goshawk","Tachyspiza novaehollandiae"
"Latham's Snipe","Gallinago hardwickii"
"Painted Buttonquail","Turnix varius"
"Paradise Riflebird","Ptiloris paradiseus"
"Pheasant Coucal","Centropus phasianinus"
"Sooty Oystercatcher","Haematopus fuliginosus"
"Spangled Drongo","Dicrurus bracteatus"
"Australian Spectacled Monarch","Symposiachrus trivirgatus"
"Torresian Crow","Corvus orru"
"Australian Pratincole","Glareola isabella"
"Little Crow","Corvus bennetti"
"Spotted Bowerbird","Chlamydera maculata"
"Brown Songlark","Cincloramphus cruralis"
"Black-tailed Nativehen","Tribonyx ventralis"
"Bush Thick-knee","Burhinus grallarius"
"Pink-eared Duck","Malacorhynchus membranaceus"
"Singing Bushlark","Mirafra javanica"
"Blue-billed Duck","Oxyura australis"
"Purple-backed Fairywren","Malurus assimilis"
"Chestnut-rumped Heathwren","Hylacola pyrrhopygia"
"Pilotbird","Pycnoptilus floccosus"
"Australian Ringneck","Barnardius zonarius"
"Mulga Parrot","Psephotellus varius"
"Shy Heathwren","Hylacola cauta"
"Black Bittern","Botaurus flavicollis"
"Black-eared Cuckoo","Chalcites osculans"
"Red-necked Avocet","Recurvirostra novaehollandiae"
"Spotless Crake","Zapornia tabuensis"
"Brown Quail","Synoicus ypsilophorus"
"Mangrove Gerygone","Gerygone levigaster"
"Regent Bowerbird","Sericulus chrysocephalus"
"Tawny Grassbird","Cincloramphus timoriensis"
"Sahul Cicadabird","Edolisoma tenuirostre"
"Leaden Flycatcher","Myiagra rubecula"
"Eurasian Tree Sparrow","Passer montanus"
"Australian Crake","Porzana fluminea"
"Topknot Pigeon","Lopholaimus antarcticus"
"Australian Owlet-nightjar","Aegotheles cristatus"
"Swift Parrot","Lathamus discolor"
"Plum-headed Finch","Emblema modestum"
"Scaly-breasted Munia","Lonchura punctulata"
"Malleefowl","Leipoa ocellata"
"Crimson Chat","Epthianura tricolor"
"Orange Chat","Epthianura aurifrons"
"Gray-tailed Tattler","Tringa brevipes"
"Painted Honeyeater","Grantiella picta"
"Pacific Reef-Heron","Egretta sacra"
"Eastern Cattle-Egret","Ardea coromanda"
"Little Penguin","Eudyptula minor"
"White-headed Pigeon","Columba leucomela"
"Broad-billed Sandpiper","Calidris falcinellus"
"Gould's Petrel","Pterodroma leucoptera"
"Masked Booby","Sula dactylatra"
"Red-tailed Tropicbird","Phaethon rubricauda"
"Sooty Tern","Onychoprion fuscatus"
"Blue-billed White-Tern","Gygis candida"
"Greater Sand-Plover","Anarhynchus leschenaultii"
"Turquoise Parrot","Neophema pulchella"
"Powerful Owl","Ninox strenua"
"White-browed Woodswallow","Artamus superciliosus"
"Inland Thornbill","Acanthiza apicalis"
"Gray Currawong","Strepera versicolor"
"Satin Flycatcher","Myiagra cyanoleuca"
"European Greenfinch","Chloris chloris"
"Pale-yellow Robin","Eopsaltria capito"
"Glossy Black-Cockatoo","Calyptorhynchus lathami"
"Ground Parrot","Pezoporus wallicus"
"Hooded Plover","Thinornis cucullatus"
"Olive Whistler","Pachycephala olivacea"
"Pacific Gull","Larus pacificus"
"Pied Oystercatcher","Haematopus longirostris"
"Striated Fieldwren","Calamanthus fuliginosus"
"White-capped Albatross","Thalassarche cauta"
"Rose-crowned Fruit-Dove","Ptilinopus regina"
"White-throated Nightjar","Eurostopodus mystacalis"
"Wompoo Fruit-Dove","Megaloprepia magnifica"
"Red-tailed Black-Cockatoo","Calyptorhynchus banksii"
"Barking Owl","Ninox connivens"
"Regent Honeyeater","Anthochaera phrygia"
"Marsh Sandpiper","Tringa stagnatilis"
"Brahminy Kite","Haliastur indus"
"Wood Sandpiper","Tringa glareola"
"Pomarine Jaeger","Stercorarius pomarinus"
"Beautiful Firetail","Stagonopleura bella"
"Glossy Ibis","Plegadis falcinellus"
"Eastern Bristlebird","Dasyornis brachypterus"
"Magpie Goose","Anseranas semipalmata"
"Black-backed Bittern","Botaurus dubius"
"Black-tailed Godwit","Limosa limosa"
"Common Tern","Sterna hirundo"
"Terek Sandpiper","Xenus cinereus"
"Red-winged Parrot","Aprosmictus erythropterus"
"Little Raven","Corvus mellori"
"White-winged Tern","Chlidonias leucopterus"
"Letter-winged Kite","Elanus scriptus"
"Little Shrikethrush","Colluricincla megarhyncha"
"Varied Triller","Lalage leucomela"
"Wandering Tattler","Tringa incana"
"Blue-breasted Quail","Synoicus chinensis"
"Splendid Fairywren","Malurus splendens"
"Spotted Nightjar","Eurostopodus argus"
"Yellow-plumed Honeyeater","Ptilotula ornata"
"Pacific Baza","Aviceda subcristata"
"Little Woodswallow","Artamus minor"
"Parasitic Jaeger","Stercorarius parasiticus"
"Ruff","Calidris pugnax"
"Common Sandpiper","Actitis hypoleucos"
"Black Noddy","Anous minutus"
"Brown Noddy","Anous stolidus"
"White-fronted Honeyeater","Purnella albifrons"
"Red-chested Buttonquail","Turnix pyrrhothorax"
"White-faced Storm-Petrel","Pelagodroma marina"
"Pintado Petrel","Daption capense"
"Fairy Prion","Pachyptila turtur"
"Indian Yellow-nosed Albatross","Thalassarche carteri"
"Australian Masked-Owl","Tyto novaehollandiae"
"Australian Painted-Snipe","Rostratula australis"
"Black-bellied Plover","Pluvialis squatarola"
"Sooty Shearwater","Ardenna grisea"
"Oriental Pratincole","Glareola maldivarum"
"Plumed Whistling-Duck","Dendrocygna eytoni"
"Gilbert's Whistler","Pachycephala inornata"
"Beach Thick-knee","Esacus magnirostris"
"Lewin's Rail","Lewinia pectoralis"
"White-throated Honeyeater","Melithreptus albogularis"
"Blue-winged Parrot","Neophema chrysostoma"
"Bourke's Parrot","Neopsephotus bourkii"
"Chirruping Wedgebill","Psophodes cristatus"
"Inland Dotterel","Peltohyas australis"
"Pied Honeyeater","Certhionyx variegatus"
"Accipitrine hawk sp. (former Accipiter sp.)","Aerospiza/Tachyspiza/Accipiter/Astur sp."
"Forest Raven","Corvus tasmanicus"
"Chestnut-crowned Babbler","Pomatostomus ruficeps"
"Northern Giant-Petrel","Macronectes halli"
"Black-breasted Kite","Hamirostra melanosternon"
"Cinnamon Quail-thrush","Cinclosoma cinnamomeum"
"Gibberbird","Ashbyia lovensis"
"White-eared Monarch","Carterornis leucotis"
"Gray-faced Petrel","Pterodroma gouldi"
"Banded Stilt","Cladorhynchus leucocephalus"
"Australian Fairy Tern","Sternula nereis"
"Superb Fruit-Dove","Ptilinopus superbus"
"Gray Falcon","Falco hypoleucos"
"Russet-tailed Thrush","Zoothera heinei"
"Black Honeyeater","Sugomel nigrum"
"Black-winged Petrel","Pterodroma nigripennis"
"Gray Noddy","Anous albivitta"
"Song Thrush","Turdus philomelos"
"Cotton Pygmy-Goose","Nettapus coromandelianus"
"Pale-headed Rosella","Platycercus adscitus"
"Domestic goose sp. (Domestic type)","Anser sp. (Domestic type)"
"Square-tailed Kite","Lophoictinia isura"
"Mute Swan","Cygnus olor"
"White-tailed Tropicbird","Phaethon lepturus"
"Australian Bustard","Ardeotis australis"
"Gray Grasswren","Amytornis barbatus"
"Redthroat","Pyrrholaemus brunneus"
"White-browed Treecreeper","Climacteris affinis"
"Southern Scrub-Robin","Drymodes brunneopygia"
"Regent Parrot","Polytelis anthopeplus"
"miner sp. (Manorina sp.)","Manorina sp."
"Albert's Lyrebird","Menura alberti"
"Snowy Albatross","Diomedea exulans"
"Muscovy Duck","Cairina moschata"
"Brown Booby","Sula leucogaster"
"Lord Howe Rail","Gallirallus sylvestris"
"White-bellied Storm-Petrel","Fregetta grallaria"
"White-necked Petrel","Pterodroma cervicalis"
"Providence Petrel","Pterodroma solandri"
"Red-browed Pardalote","Pardalotus rubricatus"
"Antipodean Albatross","Diomedea antipodensis"
"Common Diving-Petrel","Pelecanoides urinatrix"
"White-headed Petrel","Pterodroma lessonii"
"Wilson's Storm-Petrel","Oceanites oceanicus"
"Pink Robin","Petroica rodinogaster"
"Little Curlew","Numenius minutus"
"Chestnut Quail-thrush","Cinclosoma castanotum"
"Gray-fronted Honeyeater","Ptilotula plumula"
"Striated Grasswren","Amytornis striatus"
"Rufous Scrub-bird","Atrichornis rufescens"
"Torresian Kingfisher","Todiramphus sordidus"
"Arctic Tern","Sterna paradisaea"
"Brown Skua","Stercorarius antarcticus"
"Australasian Grass-Owl","Tyto longimembris"
"Oriental Plover","Anarhynchus veredus"
"White-chinned Petrel","Procellaria aequinoctialis"
"Sooty Owl","Tyto tenebricosa"
"Buff-breasted Sandpiper","Calidris subruficollis"
"Pectoral Sandpiper","Calidris melanotos"
"Hudsonian Godwit","Limosa haemastica"
"Red-backed Buttonquail","Turnix maculosus"
"Black-faced Cormorant","Phalacrocorax fuscescens"
"Long-tailed Jaeger","Stercorarius longicaudus"
"Streaked Shearwater","Calonectris leucomelas"
"Barred Cuckooshrike","Coracina lineata"
"Black-bellied Storm-Petrel","Fregetta tropica"
"Antarctic Prion","Pachyptila desolata"
"South Polar Skua","Stercorarius maccormicki"
"Parkinson's Petrel","Procellaria parkinsoni"
"Buller's Shearwater","Ardenna bulleri"
"Lesser Frigatebird","Fregata ariel"
"Little Stint","Calidris minuta"
"White-rumped Sandpiper","Calidris fuscicollis"
"Cook's Petrel","Pterodroma cookii"
"Tahiti Petrel","Pseudobulweria rostrata"
"Kermadec Petrel","Pterodroma neglecta"
"Little Shearwater","Puffinus assimilis"
"Asian Dowitcher","Limnodromus semipalmatus"
"Southern Royal Albatross","Diomedea epomophora"
"Rufous Fieldwren","Calamanthus campestris"
"Buller's Albatross","Thalassarche bulleri"
"Indian Peafowl","Pavo cristatus"
"Oriental Cuckoo","Cuculus optatus"
"Wandering Whistling-Duck","Dendrocygna arcuata"
"Long-toed Stint","Calidris subminuta"
"Hall's Babbler","Pomatostomus halli"
"Cape Barren Goose","Cereopsis novaehollandiae"
"Red-lored Whistler","Pachycephala rufogularis"
"Red Junglefowl","Gallus gallus"
"Marbled Frogmouth","Podargus ocellatus"
"Gull-billed Tern","Gelochelidon nilotica"
"Banded Whiteface","Aphelocephala nigricincta"
"Mottled Petrel","Pterodroma inexpectata"
"Flock Bronzewing","Phaps histrionica"
"Little Bronze-Cuckoo","Chalcites minutillus"
"Chestnut-breasted Quail-thrush","Cinclosoma castaneothorax"
"Rose-ringed Parakeet","Psittacula krameri"
"Garganey","Spatula querquedula"
"Pale-vented Bush-hen","Amaurornis moluccana"
"Rosy-faced Lovebird","Agapornis roseicollis"
"Mangrove Honeyeater","Gavicalis fasciogularis"
"Westland Petrel","Procellaria westlandica"
"Helmeted Guineafowl","Numida meleagris"
"Eastern Yellow Wagtail","Motacilla tschutschensis"
"White Wagtail","Motacilla alba"
"Red-footed Booby","Sula sula"
"South Island Oystercatcher","Haematopus finschi"
"Common Ostrich","Struthio camelus"
"Southern Fulmar","Fulmarus glacialoides"
"Roseate Tern","Sterna dougallii"
"Northern Pintail","Anas acuta"
"Common Redshank","Tringa totanus"
"Graylag Goose","Anser anser"
"Lesser Yellowlegs","Tringa flavipes"
"Kentish Plover","Anarhynchus alexandrinus"
"Northern Shoveler","Spatula clypeata"
"African Collared-Dove","Streptopelia roseogrisea"
"Canada Goose","Branta canadensis"
"Radjah Shelduck","Radjah radjah"
"Gray-headed Lapwing","Vanellus cinereus"
"Mandarin Duck","Aix galericulata"
"Great Frigatebird","Fregata minor"
"Purple-crowned Lorikeet","Psitteuteles porphyrocephalus"
"Painted Firetail","Emblema pictum"
"House Crow","Corvus splendens"
"Pied Heron","Egretta picata"
"Scarlet-chested Parrot","Neophema splendida"
"American Golden-Plover","Pluvialis dominica"
"Torresian Imperial-Pigeon","Ducula spilorrhoa"
"Bridled Tern","Onychoprion anaethetus"
"Laughing Gull","Leucophaeus atricilla"
"Semipalmated Plover","Charadrius semipalmatus"
"Blue-and-yellow Macaw","Ara ararauna"
"California Quail","Callipepla californica"
"Gouldian Finch","Chloebia gouldiae"
"Dusky Myzomela","Myzomela obscura"
"Collared Petrel","Pterodroma brevipes"
"Alexandrine Parakeet","Psittacula eupatria"
"Citrine Wagtail","Motacilla citreola"
"Redpoll","Acanthis flammea"
"Paradise Shelduck","Tadorna variegata"
"Red-necked Phalarope","Phalaropus lobatus"
"Band-rumped Storm-Petrel","Hydrobates castro"
"New Caledonian Storm-Petrel","Fregetta lineata"
"Aleutian Tern","Onychoprion aleuticus"
"Shining Flycatcher","Myiagra alecto"
"Thick-billed Grasswren","Amytornis modestus"
"Princess Parrot","Polytelis alexandrae"
"cuckoo sp. (Cuculidae sp.)","Cuculidae sp."
"Golden Pheasant","Chrysolophus pictus"
"Papuan Eclectus","Eclectus polychloros"
"Eyrean Grasswren","Amytornis goyderi"
"Bulwer's Petrel","Bulweria bulwerii"
"Yellow Chat","Epthianura crocea"
"Black-fronted Tern","Chlidonias albostriatus"
"Black-headed Parrot","Pionites melanocephalus"
"Yellow-collared Lovebird","Agapornis personatus"
"Barn Swallow","Hirundo rustica"
"Gray Parrot","Psittacus erithacus"
"Red-and-green Macaw","Ara chloropterus"
"Matsudaira's Storm-Petrel","Hydrobates matsudairae"
"Slaty-backed Thornbill","Acanthiza robustirostris"
"Ruddy Shelduck","Tadorna ferruginea"
"Little Ringed Plover","Thinornis dubius"
"Wild Turkey","Meleagris gallopavo"
"Monk Parakeet","Myiopsitta monachus"
"Green Sandpiper","Tringa ochropus"
"Great Bowerbird","Chlamydera nuchalis"
"Squatter Pigeon","Geophaps scripta"
"Yellow Canary","Crithagra flaviventris"
